105年07月12日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
="00652",FB印度,"884,000",56,"18,819,950",21.30,21.34,21.25,21.26,,0.00,21.25,52,21.27,83,0.00
00653L,FB印度正2,"1,132,100",184,"26,424,738",23.31,23.60,23.25,23.28,＋,0.16,23.28,36,23.30,4,0.00
00654R,FB印度反1,"1,266,000",96,"22,871,690",18.10,18.14,18.03,18.10,－,0.04,18.10,7,18.11,132,0.00
00655L,國泰中國A50正2,"5,207,000",407,"111,402,430",21.50,21.65,21.27,21.45,－,0.11,21.44,150,21.45,11,0.00
00656R,國泰中國A50反1,"573,000",25,"10,744,610",18.76,18.77,18.64,18.69,＋,0.06,18.67,123,18.69,490,0.00
="00657",國泰日經225,"750,000",71,"14,803,370",19.79,19.81,19.65,19.65,＋,0.41,19.66,251,19.68,135,0.00
00658L,國泰日本正2,"6,003,000",535,"118,498,260",19.83,19.85,19.51,19.56,＋,0.72,19.56,75,19.58,5,0.00
00659R,國泰日本反1,"1,077,000",138,"20,947,740",19.41,19.56,19.38,19.55,－,0.38,19.54,12,19.55,206,0.00
="00660",元大歐洲50,"341,000",79,"6,763,980",19.74,19.89,19.74,19.82,＋,0.22,19.81,30,19.82,1,0.00
="00661",元大日經225,"1,308,000",185,"26,675,570",20.47,20.50,20.32,20.33,＋,0.31,20.33,272,20.35,100,0.00
="00662",FB NASDAQ,"2,310,000",172,"46,682,530",20.25,20.25,20.16,20.16,＋,0.03,20.16,317,20.18,7,0.00
="008201",BP上證50,"3,000",15,"243,195",80.90,81.25,80.90,81.20,＋,0.05,80.60,15,81.20,28,0.00
01001T,土銀富邦R1,"90,000",17,"1,441,830",16.03,16.05,16.00,16.05,－,0.05,16.01,1,16.05,2,0.00
01002T,土銀國泰R1,"85,000",24,"1,420,970",16.75,16.75,16.70,16.71,－,0.05,16.71,5,16.80,89,0.00
01003T,兆豐新光R1,"11,000",2,"151,250",13.75,13.75,13.75,13.75,＋,0.03,13.74,1,13.75,56,0.00
01004T,土銀富邦R2,0,0,0,--,--,--,--,,0.00,13.57,30,13.65,18,0.00
01007T,兆豐國泰R2,"11,000",2,"177,100",16.10,16.10,16.10,16.10,,0.00,16.10,10,16.14,1,0.00
03001P,凱基3W,0,0,0,--,--,--,--,,0.00,0.32,30,0.34,30,0.00
03001X,元展01,"20,000",4,"1,655,000",83.00,83.00,82.50,82.50,X,0.00,81.50,10,82.50,10,123.50
03002P,L9富邦,0,0,0,--,--,--,--,,0.00,0.01,22,0.10,22,0.00
03003P,3F第一,0,0,0,--,--,--,--,,0.00,0.08,10,0.10,10,24.80
03003X,元展03,0,0,0,--,--,--,--,,0.00,65.50,10,66.00,10,171.00
03004P,永豐HV,0,0,0,--,--,--,--,,0.00,0.73,10,0.74,10,0.00
03004X,元展04,"16,000",2,"150,400",9.40,9.40,9.40,9.40,＋,0.15,9.25,10,9.40,10,20.95
03005P,凱基4M,"550,000",9,"358,590",0.66,0.67,0.63,0.63,－,0.05,0.64,30,0.65,30,0.00
03005X,元展05,"6,000",1,"78,600",13.10,13.10,13.10,13.10,,0.00,13.10,10,13.20,100,24.05
03006P,G5元富,0,0,0,--,--,--,--,,0.00,0.10,25,0.11,10,0.00
03006X,元展06,"19,000",8,"308,000",15.80,16.40,15.80,16.40,＋,0.70,16.10,10,16.40,100,37.15
03007P,G6元富,"180,000",9,"47,500",0.28,0.28,0.25,0.25,－,0.05,0.25,25,0.26,20,0.00
03007X,元展07,"36,000",6,"331,400",9.10,9.30,9.10,9.25,＋,0.35,9.20,10,9.30,100,17.55
03008P,凱基4S,0,0,0,--,--,--,--,,0.00,0.23,30,0.24,30,0.00
03009P,群益MY,0,0,0,--,--,--,--,,0.00,0.14,25,0.15,10,0.00
03009X,元展09,"2,000",1,"31,600",15.80,15.80,15.80,15.80,X,0.00,15.70,10,15.90,10,25.30
03010P,群益MZ,0,0,0,--,--,--,--,,0.00,0.03,25,0.10,10,0.00
03010X,元展10,"312,000",11,"9,421,700",29.90,30.20,29.90,30.20,＋,0.50,30.10,10,30.20,16,83.30
03011P,5Y元大,0,0,0,--,--,--,--,,0.00,1.32,104,1.41,10,0.00
03012P,NP中信,0,0,0,--,--,--,--,,0.00,--,0,0.02,10,0.00
03012X,元展12,"7,000",3,"39,250",5.60,5.65,5.60,5.60,＋,0.05,5.55,10,5.60,4,34.40
03013P,凱基4V,"56,000",2,"35,980",0.61,0.68,0.61,0.68,－,0.20,0.57,1,0.75,30,0.00
03013X,元展13,"23,000",3,"109,240",4.74,4.75,4.74,4.75,＋,0.11,4.74,10,4.80,100,12.55
03014P,凱基4W,0,0,0,--,--,--,--,,0.00,2.33,30,2.43,30,0.00
03014X,元展14,"7,000",1,"65,800",9.40,9.40,9.40,9.40,＋,0.10,9.35,10,9.55,100,17.00
03015P,群益ND,"316,000",4,"396,220",1.25,1.27,1.23,1.23,－,0.17,1.19,25,1.20,10,0.00
03015X,元展15,0,0,0,--,--,--,--,,0.00,10.70,10,10.90,120,18.95
03016P,群益NE,"10,000",1,"40,600",4.06,4.06,4.06,4.06,X,0.00,4.08,25,4.18,10,0.00
03016X,元展16,0,0,0,--,--,--,--,,0.00,1.51,10,1.52,100,7.69
03017P,群益NF,"660,000",7,"1,242,240",1.88,1.92,1.83,1.84,＋,0.05,1.70,25,1.73,10,0.00
03017X,元展17,"12,000",1,"18,720",1.56,1.56,1.56,1.56,＋,0.04,1.56,10,1.57,100,9.73
03018P,LH兆豐,"60,000",1,"13,800",0.23,0.23,0.23,0.23,X,0.00,0.22,10,0.23,10,0.00
03018X,元展18,"18,000",2,"44,100",2.45,2.45,2.45,2.45,＋,0.02,2.45,10,2.47,19,16.95
03019P,H5元富,"203,000",4,"2,030",0.01,0.01,0.01,0.01,,0.00,0.01,25,0.02,50,0.00
03019X,元展19,"21,000",2,"40,410",1.91,1.93,1.91,1.93,＋,0.02,1.93,10,1.95,10,14.50
03020P,H6元富,"10,000",1,600,0.06,0.06,0.06,0.06,－,0.01,0.06,75,0.07,25,0.00
03020X,元展20,0,0,0,--,--,--,--,,0.00,2.21,10,2.24,100,16.60
03021P,H7元富,"6,412,000",79,"200,260",0.03,0.04,0.02,0.03,,0.00,0.03,527,0.04,4263,0.00
03021X,元展21,0,0,0,--,--,--,--,,0.00,9.80,10,9.90,10,27.80
03022P,永豐HZ,"50,000",2,"40,750",0.80,0.83,0.80,0.83,－,0.01,0.84,10,0.85,10,0.00
03022X,富展01,"4,000",2,"61,800",15.30,15.50,15.30,15.50,X,0.00,15.30,10,15.50,10,83.30
03023P,群益NI,"150,000",1,"151,500",1.01,1.01,1.01,1.01,－,0.05,1.00,25,1.01,10,0.00
03023X,富展02,0,0,0,--,--,--,--,,0.00,14.40,10,14.50,10,27.20
03024P,7V元大,"400,000",9,"243,440",0.59,0.61,0.59,0.61,－,0.01,0.63,100,0.64,50,0.00
03024X,富展03,0,0,0,--,--,--,--,,0.00,35.60,20,36.00,11,171.00
03025P,GY國泰,"31,000",2,310,0.01,0.01,0.01,0.01,,0.00,0.01,30,0.05,10,0.00
03025X,元展22,"24,000",8,"426,300",17.70,17.80,17.70,17.80,＋,0.30,17.80,495,17.90,499,67.60
03026P,J8元富,0,0,0,--,--,--,--,,0.00,0.01,25,0.03,6,0.00
03026X,元展23,0,0,0,--,--,--,--,,0.00,4.14,100,4.19,100,16.06
03027P,J9元富,"10,000",1,"1,400",0.14,0.14,0.14,0.14,X,0.00,0.13,25,0.14,25,0.00
03027X,元展24,0,0,0,--,--,--,--,,0.00,7.60,100,7.70,2,27.20
03028P,K1元富,"20,000",2,200,0.01,0.01,0.01,0.01,,0.00,0.01,25,0.04,10,0.00
03028X,元展25,"12,000",2,"187,200",15.60,15.60,15.60,15.60,X,0.00,15.70,10,16.00,10,62.30
03029P,凱基5D,0,0,0,--,--,--,--,,0.00,0.20,30,0.21,30,0.00
03029X,元展26,"39,000",12,"465,200",11.90,12.20,11.80,11.80,,0.00,11.80,10,11.90,50,39.00
03030P,8T元大,0,0,0,--,--,--,--,,0.00,0.02,100,0.03,10,0.00
03031P,9H元大,0,0,0,--,--,--,--,,0.00,0.03,100,0.04,100,0.00
03031X,元展28,0,0,0,--,--,--,--,,0.00,6.55,15,6.60,10,50.70
03032P,日盛G8,0,0,0,--,--,--,--,,0.00,0.01,62,0.03,100,67.60
03032X,元展29,"61,000",4,"245,040",4.04,4.10,4.00,4.00,－,0.26,3.96,100,4.04,100,10.55
03033P,統一DZ,"1,124,000",31,"67,000",0.08,0.08,0.05,0.05,－,0.05,0.05,6,0.07,403,0.00
03033X,元展30,"224,000",22,"1,216,350",5.30,5.55,5.25,5.55,＋,0.30,5.55,10,5.60,10,226.50
03034P,元大AW,0,0,0,--,--,--,--,,0.00,0.34,100,0.35,100,0.00
03035P,元大BJ,"10,000",1,500,0.05,0.05,0.05,0.05,X,0.00,0.05,110,0.06,10,0.00
03035X,元展32,"74,000",6,"365,520",4.91,5.05,4.88,5.05,＋,0.17,4.96,10,5.00,10,24.30
03036P,L1元富,"319,000",9,"158,100",0.49,0.52,0.49,0.50,,0.00,0.50,25,0.51,45,0.00
03037P,日盛H2,0,0,0,--,--,--,--,,0.00,0.62,25,0.63,25,61.40
03038P,凱基5J,"40,000",3,"1,200",0.03,0.03,0.03,0.03,－,0.03,0.03,100,0.05,120,0.00
03038X,元展35,"74,000",10,"604,450",8.05,8.30,8.05,8.20,X,0.00,8.10,10,8.15,10,71.30
03039P,凱基5K,"35,000",1,"1,050",0.03,0.03,0.03,0.03,,0.00,0.01,50,0.03,94,0.00
03039X,元展36,"1,000",1,"5,100",5.10,5.10,5.10,5.10,X,0.00,5.15,10,5.20,10,275.00
03040P,凱基5L,"1,117,000",13,"11,170",0.01,0.01,0.01,0.01,－,0.01,0.01,30,0.02,120,0.00
03040X,元展37,"136,000",3,"700,400",5.15,5.15,5.15,5.15,X,0.00,5.20,10,5.25,10,12.45
03041P,LR兆豐,"266,000",13,"22,880",0.10,0.10,0.07,0.07,－,0.02,0.07,60,0.08,4,0.00
03041X,元展38,0,0,0,--,--,--,--,,0.00,5.45,10,5.50,10,161.50
03042P,LS兆豐,"166,000",21,"194,700",1.22,1.22,1.04,1.04,－,0.19,1.05,10,1.06,10,0.00
03042X,元展39,0,0,0,--,--,--,--,,0.00,7.35,10,7.40,10,36.00
03043P,LX兆豐,0,0,0,--,--,--,--,,0.00,--,0,--,0,0.00
03043X,元展40,0,0,0,--,--,--,--,,0.00,9.50,10,9.65,10,48.25
03044P,LY兆豐,0,0,0,--,--,--,--,,0.00,1.58,10,1.60,10,0.00
03044X,元展41,"1,000",1,"8,450",8.45,8.45,8.45,8.45,＋,0.15,8.40,10,8.45,13,20.95
03045F,群益4Z,0,0,0,--,--,--,--,,0.00,0.64,200,0.65,200,0.00
03045P,LZ兆豐,"232,000",11,"27,970",0.13,0.14,0.11,0.14,－,0.01,0.13,9,0.14,40,0.00
03046F,群益5A,0,0,0,--,--,--,--,,0.00,1.25,200,1.26,200,0.00
03046P,MH兆豐,0,0,0,--,--,--,--,,0.00,--,0,0.05,10,0.00
03046X,元展43,"2,000",2,"10,300",5.15,5.15,5.15,5.15,－,0.20,5.15,10,5.30,10,62.30
03047P,MJ兆豐,0,0,0,--,--,--,--,,0.00,--,0,0.02,125,0.00
03047X,元展44,"1,000",1,"2,250",2.25,2.25,2.25,2.25,＋,0.08,2.21,10,2.22,10,8.67
03048P,MK兆豐,0,0,0,--,--,--,--,,0.00,0.02,10,0.03,20,0.00
03048X,元展45,"7,000",4,"10,930",1.55,1.57,1.55,1.57,＋,0.07,1.56,10,1.59,10,14.30
03049P,ML兆豐,"422,000",20,"23,820",0.06,0.06,0.05,0.06,－,0.01,0.05,210,0.06,10,0.00
03049X,元展46,"1,000",1,"2,760",2.76,2.76,2.76,2.76,X,0.00,2.71,10,2.74,100,48.00
03050P,永豐IJ,"10,000",1,800,0.08,0.08,0.08,0.08,－,0.02,0.08,425,0.09,10,0.00
03050X,元展47,"135,000",13,"262,800",1.94,1.96,1.93,1.95,＋,0.04,1.94,20,1.95,10,37.40
03051P,永豐IK,"200,000",2,"24,000",0.12,0.12,0.12,0.12,X,0.00,0.13,10,0.14,10,0.00
03051X,元展48,0,0,0,--,--,--,--,,0.00,13.60,10,13.70,10,65.60
03052P,永豐IL,"5,000",1,"1,250",0.25,0.25,0.25,0.25,－,0.03,0.24,10,0.25,10,0.00
03052X,元展49,"4,000",3,"46,700",11.60,11.80,11.60,11.80,X,0.00,11.70,10,11.90,10,80.60
03053P,群益1A,"5,000",1,"10,900",2.18,2.18,2.18,2.18,X,0.00,2.19,25,2.24,10,0.00
03053X,元展50,"33,000",7,"241,000",7.35,7.35,7.30,7.30,,0.00,7.30,5,7.40,10,113.00
03054P,群益1B,"1,523,000",33,"1,214,310",0.79,0.83,0.77,0.83,－,0.01,0.82,25,0.83,10,0.00
03054X,元展51,"9,000",4,"114,100",12.90,12.90,12.20,12.20,－,0.10,12.30,10,12.40,10,77.00
03055P,群益1C,0,0,0,--,--,--,--,,0.00,0.26,25,0.27,10,0.00
03055X,元展52,0,0,0,--,--,--,--,,0.00,7.70,10,7.80,100,54.80
03056P,群益NP,0,0,0,--,--,--,--,,0.00,--,0,0.02,499,0.00
03057P,群益NQ,0,0,0,--,--,--,--,,0.00,--,0,0.10,1,0.00
03058P,群益NR,0,0,0,--,--,--,--,,0.00,0.02,499,0.04,60,0.00
03058X,元展53,"1,000",1,"28,600",28.60,28.60,28.60,28.60,X,0.00,28.40,10,28.80,10,171.00
03059P,群益NS,"450,000",41,"18,000",0.04,0.04,0.04,0.04,－,0.01,0.03,499,0.05,10,0.00
03059X,元展54,0,0,0,--,--,--,--,,0.00,12.60,10,12.70,10,23.65
03060P,群益NT,"525,000",5,"36,750",0.07,0.07,0.07,0.07,－,0.02,0.06,499,0.07,494,0.00
03060X,元展55,0,0,0,--,--,--,--,,0.00,10.40,10,10.50,10,82.20
03061P,群益NU,"3,365,000",39,"771,380",0.24,0.25,0.21,0.22,－,0.06,0.22,78,0.23,594,0.00
03061X,元展56,"3,000",3,"111,900",37.20,37.50,37.20,37.50,＋,1.00,36.70,10,37.20,10,123.50
03062P,玉山H9,0,0,0,--,--,--,--,,0.00,0.03,10,0.04,10,0.00
03063P,N7富邦,0,0,0,--,--,--,--,,0.00,--,0,0.05,49,0.00
03063X,元展58,"237,000",43,"6,258,400",25.20,27.60,25.20,27.30,＋,3.00,27.20,10,27.30,10,"3,180.00"
03064P,N8富邦,0,0,0,--,--,--,--,,0.00,0.01,200,0.10,200,0.00
03064X,元展59,"10,000",1,"58,500",5.85,5.85,5.85,5.85,X,0.00,5.80,100,5.85,10,12.20
03065P,凱基5W,0,0,0,--,--,--,--,,0.00,0.30,30,0.31,30,0.00
03065X,元展60,0,0,0,--,--,--,--,,0.00,20.90,10,21.20,10,34.80
03066P,L5元富,0,0,0,--,--,--,--,,0.00,0.07,25,0.08,25,0.00
03066X,元展61,0,0,0,--,--,--,--,,0.00,6.80,10,6.85,10,10.90
03067P,L6元富,0,0,0,--,--,--,--,,0.00,0.12,25,0.13,25,0.00
03068P,L7元富,0,0,0,--,--,--,--,,0.00,0.29,25,0.30,20,0.00
03068X,元展63,"9,000",2,"181,800",20.20,20.20,20.20,20.20,＋,0.20,20.60,10,20.80,10,149.50
